Player,Position,Age,Games,Minutes Played,True Shooting(%),Threepoint Attempt rate,Free throw attempt rate,Player Efficiency Rating
Alex Len,C,27,7,76,0.633,0.6,0.6,4.3
Alex Len,C,27,13,216,0.673,0.2,0.431,19.5
Kawhi Leonard,SF,29,23,792,0.617,0.259,0.32,27.5
Meyers Leonard,C,28,3,29,0.635,1,0.286,6.6
Caris LeVert,SG,26,12,334,0.516,0.315,0.17,19.1
Kira Lewis Jr.,PG,19,17,223,0.491,0.333,0.23,11.7
Damian Lillard,PG,30,27,969,0.625,0.529,0.379,27.1
Nassir Little,PF,20,13,141,0.717,0.45,0.225,16.3
Kevon Looney,C,24,21,308,0.656,0.094,0.245,13.9
Brook Lopez,C,32,28,760,0.587,0.54,0.186,13.4
Robin Lopez,C,32,26,505,0.632,0.088,0.445,15
Kevin Love,PF,32,2,46,0.47,0.5,0.278,11.2
Kyle Lowry,PG,34,25,859,0.601,0.539,0.264,16.3
Timothé Luwawu-Cabarrot,SF,25,30,590,0.538,0.637,0.124,9.8
Trey Lyles,PF,25,14,165,0.575,0.417,0.417,11.6
Thon Maker,C,23,8,76,0.657,0.111,0.611,18.9
Théo Maledon,PG,19,23,538,0.525,0.563,0.15,8.2
Karim Mané,PG,20,6,56,0.325,0.222,0.444,-0.7
Terance Mann,SG,24,27,407,0.537,0.255,0.34,11.2
Nico Mannion,PG,19,6,36,0.305,0.692,0.308,7.8
Boban Marjanović,C,32,15,108,0.544,0.056,0.241,21.2
Lauri Markkanen,PF,23,14,426,0.654,0.546,0.243,17.2
Naji Marshall,SF,23,3,8,0.174,0.5,1,-0.4
Caleb Martin,SF,25,23,363,0.496,0.42,0.21,11.9
Cody Martin,SF,25,17,159,0.601,0.342,0.263,13.5
Kelan Martin,SF,25,11,43,0.389,0.444,0,1.4
Kenyon Martin Jr.,SF,20,7,69,0.394,0.148,0.185,9.1
Frank Mason III,G,26,4,79,0.462,0.208,0.292,7.6
Garrison Mathews,SG,24,20,322,0.619,0.8,0.432,13.9
Dakota Mathias,SG,25,8,123,0.474,0.542,0.125,9.8
Wesley Matthews,SG,34,22,449,0.58,0.811,0.167,8.2
Tyrese Maxey,SG,20,28,472,0.513,0.239,0.111,13.4
Skylar Mays,SG,23,10,68,0.605,0.444,0.37,19.3
CJ McCollum,SG,29,13,440,0.62,0.55,0.173,26.4
T.J. McConnell,PG,28,26,623,0.52,0.115,0.086,15.2
Jaden McDaniels,PF,20,23,431,0.498,0.534,0.127,8
Jalen McDaniels,SF,23,10,108,0.542,0.273,0.333,7.2
Doug McDermott,PF,29,28,733,0.607,0.429,0.156,13.8
Sean McDermott,SF,24,6,92,0.656,0.733,0.267,7.6
JaVale McGee,C,33,20,313,0.502,0.119,0.326,16.5
Rodney McGruder,SG,29,8,64,0.591,0.368,0.158,11.1
Alfonzo McKinnie,SF,28,14,44,0.704,0.313,0.25,22.7
Jordan McLaughlin,PG,24,17,310,0.459,0.255,0.096,13.1
Ben McLemore,SG,27,20,303,0.517,0.722,0.157,8.6
Nicolò Melli,PF,30,13,137,0.43,0.786,0.179,5.8
De'Anthony Melton,PG,22,12,258,0.58,0.43,0.08,15.6
Sam Merrill,SG,24,9,55,0.643,0.8,0.2,12.5
Chimezie Metu,C,23,11,71,0.545,0.1,0.3,20.3
Khris Middleton,SF,29,28,924,0.632,0.376,0.224,20.1
Darius Miller,SF,30,12,111,0.671,0.875,0.125,12.5
Patty Mills,PG,32,27,687,0.598,0.618,0.124,14.7
Paul Millsap,PF,35,26,621,0.63,0.413,0.312,17
Shake Milton,SG,24,22,536,0.562,0.301,0.335,15.3
